Pouls,Temps
0,2210
66,2210
69,2210
104,2210
87,2210
59,2210
36,2210
44,2210
0,2210
0,2423
0,5091
44,6291
48,6508
111,6792
222,7091
204,7392
200,7691
82,9042
103,9242
71,10164
85,11085
65,12002
79,12503
105,12867
155,13184
223,13350
108,14366
120,14722
79,15583
136,15758
92,16601
111,17184
109,17484
159,17767
204,18067
204,18359
148,18917
158,19220
120,19817
153,20117
150,20436
51,22857
63,23184
63,23474
206,23737
153,24301
95,25253
100,25617
53,27435
48,28874
53,29253
65,30171
100,30691
51,32535
58,33318
40,35070
68,35369
81,35670
145,36252
156,36554
156,36852
205,37136
204,37436
92,38609
106,38908
106,39220
211,39469
208,39769
214,40052
204,40354
209,40627
198,40953
205,41226
194,41553
180,41926
140,42469
118,43053
133,43327
146,43704
160,44153
91,45171
89,45744
87,46269
131,46587
54,48686
63,49253
58,49823
117,50254
130,50641
123,51240
98,52022
95,52559
55,54288
80,54459
75,55020
121,55705
103,56220
133,56437
4,90501
4,97763
2,123283
5,125982
6,129500
7,145217
9,147035
11,147217
27,151118
17,156606
3,195006
2,229392
2,237011
4,240028
10,246044
21,246200
26,247244
136,247445
41,250145
35,252146
39,252418
37,254662
